fault_id,trial,fault_name,target_service,injection_method,expected_root_cause,affected_components,severity,primary_symptoms,expected_metrics,expected_log_patterns,expected_recovery_action
F1,1,OOMKilled,cartservice,"Set memory limit to 32Mi on cartservice container",Container cartservice exceeded 32Mi memory limit; OOM killer terminated process with exit code 137,"cartservice,frontend,checkoutservice",critical,"Pod restart with OOMKilled reason; increased latency on cart operations; HTTP 500 from frontend when accessing cart","container_memory_working_set_bytes{container=""cartservice""} > memory_limit; kube_pod_container_status_last_terminated_reason{reason=""OOMKilled""}=1; rate(kube_pod_container_status_restarts_total[5m]) > 0","OOMKilled; exit code 137; container killed by OOM; memory cgroup out of memory","Increase memory limit to 128Mi or optimize cartservice memory usage"
F1,2,OOMKilled,recommendationservice,"Set memory limit to 24Mi on recommendationservice container",Container recommendationservice exceeded 24Mi memory limit during model loading; OOM killer terminated process,"recommendationservice,productcatalogservice,frontend",high,"Pod restart with OOMKilled reason; recommendation section unavailable on frontend; gRPC deadline exceeded from frontend","container_memory_working_set_bytes{container=""recommendationservice""} > memory_limit; kube_pod_container_status_last_terminated_reason{reason=""OOMKilled""}=1","OOMKilled; Cannot allocate memory; exit code 137; killed process","Increase memory limit to 96Mi; recommendationservice loads ML model requiring more memory"
F1,3,OOMKilled,checkoutservice,"Set memory limit to 16Mi on checkoutservice container",Container checkoutservice exceeded 16Mi memory limit under load; OOM killed,"checkoutservice,frontend",critical,"Checkout failures; HTTP 500 on /cart/checkout; pod restarts with OOMKilled","container_memory_working_set_bytes{container=""checkoutservice""} > memory_limit; kube_pod_container_status_last_terminated_reason{reason=""OOMKilled""}=1","OOMKilled; runtime: out of memory; exit code 137","Increase memory limit to 64Mi"
F1,4,OOMKilled,productcatalogservice,"Set memory limit to 16Mi with large product catalog loaded",Container productcatalogservice memory exceeded 16Mi limit when loading full catalog into memory,"productcatalogservice,frontend,recommendationservice",high,"Product listing pages fail; gRPC errors from dependent services; pod CrashLoopBackOff after repeated OOM","container_memory_working_set_bytes{container=""productcatalogservice""} > memory_limit; kube_pod_container_status_last_terminated_reason{reason=""OOMKilled""}=1","OOMKilled; exit code 137; failed to load products","Increase memory limit to 64Mi; consider streaming product catalog instead of full load"
F1,5,OOMKilled,frontend,"Set memory limit to 32Mi on frontend container under load",Container frontend exceeded 32Mi memory limit under sustained traffic from loadgenerator,"frontend",critical,"All user-facing requests fail; HTTP 502 from ingress; pod restarts with OOMKilled; loadgenerator reports errors","container_memory_working_set_bytes{container=""frontend""} > memory_limit; kube_pod_container_status_last_terminated_reason{reason=""OOMKilled""}=1","OOMKilled; exit code 137; memory limit exceeded","Increase memory limit to 128Mi; frontend serves concurrent requests requiring more memory"
F2,1,CrashLoopBackOff,paymentservice,"Inject exit(1) into paymentservice startup by corrupting entrypoint",paymentservice container crashes on startup due to corrupted entrypoint script; kubelet restarts with exponential backoff,"paymentservice,checkoutservice,frontend",critical,"Pod status CrashLoopBackOff; checkout flow fails; increasing restart count; BackOff events","kube_pod_container_status_waiting_reason{reason=""CrashLoopBackOff""}=1; kube_pod_container_status_restarts_total increasing; kube_pod_status_phase{phase=""Running""}=0","Back-off restarting failed container; exit code 1; CrashLoopBackOff; Error from server","Fix entrypoint script or restore correct container image"
F2,2,CrashLoopBackOff,emailservice,"Set invalid SMTP config causing emailservice to crash on connection attempt",emailservice crashes during initialization when unable to connect to configured SMTP endpoint,"emailservice,checkoutservice",medium,"Pod restarts repeatedly; email confirmation fails; checkout completes but no email sent","kube_pod_container_status_waiting_reason{reason=""CrashLoopBackOff""}=1; kube_pod_container_status_restarts_total increasing","CrashLoopBackOff; connection refused; SMTP connection failed; Back-off restarting","Fix SMTP configuration or make email sending non-blocking"
F2,3,CrashLoopBackOff,currencyservice,"Inject null pointer exception in currencyservice initialization",currencyservice crashes with unhandled exception during currency rate initialization,"currencyservice,frontend,checkoutservice",high,"Currency conversion fails; product prices show errors; pod restarts; CrashLoopBackOff status","kube_pod_container_status_waiting_reason{reason=""CrashLoopBackOff""}=1; kube_pod_container_status_restarts_total increasing","CrashLoopBackOff; NullPointerException; exit code 1; failed to initialize","Fix initialization code or provide fallback currency rates"
F2,4,CrashLoopBackOff,shippingservice,"Inject port conflict causing shippingservice bind failure",shippingservice cannot bind to configured port; crashes immediately on startup,"shippingservice,checkoutservice,frontend",high,"Shipping cost calculation unavailable; checkout fails; pod in CrashLoopBackOff","kube_pod_container_status_waiting_reason{reason=""CrashLoopBackOff""}=1; kube_pod_container_status_restarts_total increasing","CrashLoopBackOff; address already in use; bind: permission denied; exit code 1","Fix port configuration or resolve port conflict"
F2,5,CrashLoopBackOff,adservice,"Inject missing required flag causing adservice to exit on startup",adservice exits with error due to missing required command-line flag,"adservice,frontend",low,"Ad section empty on frontend; pod CrashLoopBackOff; non-critical feature degraded","kube_pod_container_status_waiting_reason{reason=""CrashLoopBackOff""}=1; kube_pod_container_status_restarts_total increasing","CrashLoopBackOff; missing required flag; exit code 2; Usage error","Add missing flag to container args or deployment manifest"
F3,1,ImagePullBackOff,frontend,"Change frontend image tag to nonexistent version (v99.99.99)",Image frontend:v99.99.99 does not exist in registry; kubelet cannot pull image,"frontend",critical,"Pod stuck in ImagePullBackOff; frontend completely unavailable; all user requests fail","kube_pod_container_status_waiting_reason{reason=""ImagePullBackOff""}=1; kube_pod_status_phase{phase=""Pending""}=1","Failed to pull image; ErrImagePull; manifest unknown; ImagePullBackOff; repository does not exist","Revert image tag to valid version in deployment manifest"
F3,2,ImagePullBackOff,cartservice,"Change cartservice image to private registry without imagePullSecret",Image pull from private registry fails due to missing authentication credentials,"cartservice,frontend,checkoutservice",high,"Cart operations fail; pod in ImagePullBackOff; unauthorized error in events","kube_pod_container_status_waiting_reason{reason=""ImagePullBackOff""}=1","Failed to pull image; unauthorized: authentication required; ImagePullBackOff; 401 Unauthorized","Add imagePullSecret to deployment or service account"
F3,3,ImagePullBackOff,productcatalogservice,"Change productcatalogservice image to typo in registry URL",Image pull fails due to DNS resolution failure on misspelled registry hostname,"productcatalogservice,frontend,recommendationservice",high,"Product pages fail; pod in ImagePullBackOff; DNS error in events","kube_pod_container_status_waiting_reason{reason=""ImagePullBackOff""}=1","Failed to pull image; dial tcp: lookup gcr.typo.io: no such host; ErrImagePull","Fix registry URL in deployment manifest"
F3,4,ImagePullBackOff,checkoutservice,"Change checkoutservice image digest to invalid SHA256",Image pull fails due to manifest digest mismatch,"checkoutservice,frontend",critical,"Checkout flow completely broken; pod in ImagePullBackOff; digest mismatch error","kube_pod_container_status_waiting_reason{reason=""ImagePullBackOff""}=1","Failed to pull image; manifest verification failed; digest mismatch; ErrImagePull","Fix image digest or use tag-based reference"
F3,5,ImagePullBackOff,loadgenerator,"Change loadgenerator image to rate-limited registry causing throttle",Image pull fails due to registry rate limiting (429 Too Many Requests),"loadgenerator",low,"Load generator not running; no synthetic traffic; pod in ImagePullBackOff","kube_pod_container_status_waiting_reason{reason=""ImagePullBackOff""}=1","Failed to pull image; 429 Too Many Requests; rate limit exceeded; toomanyrequests","Wait for rate limit reset or use authenticated pull; mirror image to local registry"
F4,1,NodeNotReady,worker01,"Cordon and drain worker01; simulate kubelet failure via systemctl stop kubelet",worker01 kubelet stopped; node transitions to NotReady; pods rescheduled to other workers,"worker01 pods (varies),node-exporter",critical,"Node status NotReady; pod evictions; rescheduling events; Prometheus alerts for node down","kube_node_status_condition{condition=""Ready"",status=""true""}=0; up{job=""node-exporter"",instance=~""worker01.*""}=0","node not ready; NodeNotReady; Taint node.kubernetes.io/not-ready added; evicting pod","Restart kubelet on worker01; uncordon node"
F4,2,NodeNotReady,worker02,"Block worker02 API server communication via iptables (simulate network partition)",worker02 cannot reach API server; kubelet reports but lease expires; node marked NotReady,"worker02 pods (varies)",critical,"Node NotReady after lease timeout (~40s); pod status Unknown; eventual eviction","kube_node_status_condition{condition=""Ready"",status=""true""}=0; kube_node_status_condition{condition=""NetworkUnavailable""}","node not ready; NodeNotReady; node lease expired; failed to update lease","Remove iptables rule blocking API server; verify network connectivity"
F4,3,NodeNotReady,worker03,"Exhaust memory on worker03 via stress-ng causing kernel OOM",worker03 under extreme memory pressure; kubelet becomes unresponsive; node transitions to NotReady,"worker03 pods (varies),node-exporter",critical,"Node MemoryPressure condition; then NotReady; pod evictions; node-exporter metrics gap","kube_node_status_condition{condition=""MemoryPressure"",status=""true""}=1; node_memory_MemAvailable_bytes < threshold","node not ready; MemoryPressure; evicting pod due to memory pressure; OOM","Kill stress-ng process; wait for memory recovery; uncordon if needed"
F4,4,NodeNotReady,worker01,"Simulate disk pressure on worker01 by filling root filesystem to >95%",worker01 reports DiskPressure; transitions to NotReady if sustained; pod evictions begin,"worker01 pods,local-path-provisioner PVs on worker01",high,"Node DiskPressure condition; eviction of BestEffort pods; new scheduling rejected","kube_node_status_condition{condition=""DiskPressure"",status=""true""}=1; node_filesystem_avail_bytes{mountpoint=""/""}","DiskPressure; evicting pod due to disk pressure; node has disk pressure","Remove temporary files; expand disk; clean unused images with crictl"
F4,5,NodeNotReady,worker02,"Stop containerd on worker02 causing runtime failure",worker02 container runtime unavailable; existing pods fail health checks; node goes NotReady,"worker02 pods (varies)",critical,"Node NotReady; container runtime down event; all pods on node fail; rescheduling","kube_node_status_condition{condition=""Ready"",status=""true""}=0; kube_node_info","container runtime is down; PLEG is not healthy; NodeNotReady; runtime state check error","Restart containerd on worker02; verify runtime health"
F5,1,PVCPending,redis-cart,"Create PVC with non-existent StorageClass name",PVC bound to StorageClass 'premium-ssd' which does not exist; provisioner never triggered,"redis-cart,cartservice,frontend",high,"PVC stuck in Pending; redis-cart pod unschedulable; cart operations fail","kube_persistentvolumeclaim_status_phase{phase=""Pending""}=1; kube_pod_status_phase{phase=""Pending""}=1","no persistent volumes available; storageclass premium-ssd not found; FailedScheduling; waiting for volume","Change StorageClass to 'local-path' in PVC manifest"
F5,2,PVCPending,prometheus,"Request PVC with 500Gi exceeding available local-path capacity",PVC request for 500Gi exceeds available node disk space; provisioner cannot satisfy claim,"prometheus,monitoring-stack",high,"Prometheus PVC Pending; monitoring data loss; new metrics not stored","kube_persistentvolumeclaim_status_phase{phase=""Pending""}=1","waiting for a volume to be created; insufficient storage; ProvisioningFailed","Reduce PVC size or add disk capacity to worker nodes"
F5,3,PVCPending,loki,"Delete local-path-provisioner deployment causing provisioner unavailability",PVC provisioner pod not running; new PVC requests cannot be fulfilled,"loki,log-collection",high,"New Loki PVC Pending; provisioner pod missing; ProvisioningFailed events","kube_persistentvolumeclaim_status_phase{phase=""Pending""}=1; kube_deployment_status_replicas_available{deployment=""local-path-provisioner""}=0","waiting for volume; no volume plugin matched; provisioner not available","Restore local-path-provisioner deployment via FluxCD reconcile"
F5,4,PVCPending,redis-cart,"Set PVC accessMode to ReadWriteMany on local-path (only supports ReadWriteOnce)",PVC access mode mismatch; local-path-provisioner only supports ReadWriteOnce,"redis-cart,cartservice",medium,"PVC Pending; access mode unsupported error; redis-cart cannot start","kube_persistentvolumeclaim_status_phase{phase=""Pending""}=1","access mode ReadWriteMany not supported; no persistent volumes available","Change PVC accessMode to ReadWriteOnce"
F5,5,PVCPending,grafana,"Add nodeAffinity to PV targeting non-existent node label",PV created but node affinity cannot be satisfied; PVC binds but pod cannot schedule,"grafana",medium,"Grafana pod Pending; PVC bound but pod unschedulable due to volume node affinity","kube_pod_status_phase{phase=""Pending""}=1; kube_persistentvolumeclaim_status_phase{phase=""Bound""}=1","volume node affinity conflict; FailedScheduling; node does not match volume topology","Fix node affinity labels on PV or worker nodes"
F6,1,NetworkPolicy,frontend,"Apply deny-all ingress NetworkPolicy to boutique namespace",Default deny-all ingress policy blocks all incoming traffic to boutique pods,"all boutique services",critical,"All inter-service communication fails; frontend unreachable; gRPC deadline exceeded across all services","cilium_drop_count_total increasing; cilium_policy_import_errors_total","DROPPED by policy; connection refused; context deadline exceeded; dial tcp: i/o timeout","Remove deny-all NetworkPolicy or add explicit allow rules for required traffic"
F6,2,NetworkPolicy,cartservice,"Apply NetworkPolicy blocking frontend→cartservice on gRPC port 7070",NetworkPolicy blocks ingress to cartservice from frontend on port 7070,"cartservice,frontend",high,"Cart page errors; Add to Cart fails; frontend shows gRPC UNAVAILABLE for cart operations","cilium_drop_count_total{direction=""INGRESS""} increasing for cartservice endpoints","DROPPED by policy; connection refused on port 7070; gRPC UNAVAILABLE","Add NetworkPolicy allowing frontend→cartservice ingress on port 7070"
F6,3,NetworkPolicy,checkoutservice,"Apply NetworkPolicy blocking checkoutservice egress to paymentservice",checkoutservice cannot reach paymentservice; payment step in checkout fails,"checkoutservice,paymentservice,frontend",critical,"Checkout completes partially but payment fails; HTTP 500 on checkout; timeout errors","cilium_drop_count_total{direction=""EGRESS""} increasing for checkoutservice","DROPPED by policy; connection timed out to paymentservice; egress denied","Add egress allow rule for checkoutservice→paymentservice"
F6,4,NetworkPolicy,productcatalogservice,"Apply NetworkPolicy blocking DNS egress (port 53) from productcatalogservice",productcatalogservice cannot resolve any service DNS names; all outbound connections fail by name,"productcatalogservice,frontend,recommendationservice",high,"Product catalog unavailable; DNS resolution failure; services cannot be reached by name","cilium_drop_count_total{direction=""EGRESS""} increasing on port 53","DROPPED by policy; dial tcp: lookup productcatalogservice: no such host; DNS resolution failed","Add egress allow rule for UDP/TCP port 53 to kube-dns"
